amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR1:179840.708021	3	0	0	3
ERR1:186410.647542	3	0	0	3
ERR1:188950.731523	3	0	0	3
ERR1:201550.741976	3	0	0	3
ERR1:202380.737987	3	0	0	3
ERR1:204520.713068	3	0	0	3
ERR1:205130.693556	3	0	0	3
ERR1:20600.736190	3	0	0	3
ERR1:207230.717593	3	0	0	3
ERR1:208030.749665	3	0	0	3
ERR1:208160.738967	3	0	0	3
ERR1:210220.657712	3	0	0	3
ERR1:213810.709954	3	0	0	3
ERR1:21410.722494	3	0	0	3
ERR1:221410.710502	3	0	0	3
ERR1:22320.676136	3	0	0	3
ERR1:224970.644492	3	0	0	3
ERR1:225210.722812	3	0	0	3
ERR1:227440.706232	3	0	0	3
ERR1:227740.730240	3	0	0	3
ERR1:228310.736389	3	0	0	3
ERR1:229670.706515	3	0	0	3
ERR1:231480.716836	3	0	0	3
ERR1:23300.710679	3	0	0	3
ERR1:235480.699793	3	0	0	3
ERR1:237570.622159	3	0	0	3
ERR1:239250.733937	3	0	0	3
ERR1:240420.745424	3	0	0	3
ERR1:241310.635863	3	0	0	3
ERR1:243640.740165	3	0	0	3
ERR1:245430.709860	3	0	0	3
ERR1:248720.725324	3	0	0	3
ERR1:248850.728967	3	0	0	3
ERR1:248890.736219	3	0	0	3
ERR1:249700.623124	3	0	0	3
ERR1:260740.730962	3	0	0	3
ERR1:261010.739096	3	0	0	3
ERR1:26150.675653	3	0	0	3
ERR1:263820.730019	3	0	0	3
ERR1:264950.717030	3	0	0	3
ERR1:268300.716494	3	0	0	3
ERR1:26900.710103	3	0	0	3
ERR1:272250.733155	3	0	0	3
ERR1:276360.711019	3	0	0	3
ERR1:277840.715344	3	0	0	3
ERR1:278010.694575	3	0	0	3
ERR1:27950.727089	3	0	0	3
ERR1:28130.723391	3	0	0	3
ERR1:28200.706210	3	0	0	3
ERR1:285090.711748	3	0	0	3
ERR1:29550.737744	3	0	0	3
ERR1:296950.732070	3	0	0	3
