OTU	ERR1308288	classification
ERR1308288:1110130.710011	8	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1200330.617295	8	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308288:1203490.693038	8	Eukaryota;Arthropoda;Insecta;Diptera;Mycetophilidae;Mycetophila;Mycetophila lunata
ERR1308288:1205010.662433	8	Eukaryota;Nematoda;Chromadorea;Ascaridida;Cucullanidae;Cucullanus;Cucullanus robustus
ERR1308288:1209410.689346	8	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308288:1333120.723524	8	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1499210.651261	8	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes jeffersoni
ERR1308288:1538170.675497	8	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1562450.700332	8	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR1308288:1579140.628837	8	Eukaryota;Porifera;Demospongiae;Astrophorida;Geodiidae;Geodia;Geodia papyracea
ERR1308288:1712790.606999	8	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Procambarus;Procambarus toltecae
ERR1308288:1742250.714946	8	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes jeffersoni
ERR1308288:1039510.612381	7	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Parides;Parides vertumnus
ERR1308288:1044720.637439	7	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308288:1103580.692105	7	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya californiana
ERR1308288:1155560.611855	7	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308288:1202570.679151	7	Eukaryota;Arthropoda;Insecta;Hymenoptera;Trigonalidae;Taeniogonalos;Taeniogonalos taihorina
ERR1308288:1306640.691373	7	Eukaryota;Porifera;Demospongiae;Astrophorida;Geodiidae;Geodia;Geodia papyracea
ERR1308288:14010.674170	7	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Haemadipsa;Haemadipsa montana
ERR1308288:1447750.625241	7	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR1308288:1447990.652454	7	Eukaryota;Arthropoda;Arachnida;Mesostigmata;Ameroseiidae;Neocypholaelaps;Neocypholaelaps apicola
ERR1308288:1518010.667268	7	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1544140.726091	7	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Palla;Palla ussheri
ERR1308288:1768530.712004	7	Eukaryota;Nematoda;Chromadorea;Oxyurida;Oxyuridae;Wellcomia;Wellcomia siamensis
ERR1308288:1944090.607958	7	Eukaryota;Mollusca;Bivalvia;Veneroida;Mactridae;Lutraria;Lutraria rhynchaena
ERR1308288:1983870.652309	7	Eukaryota;Arthropoda;Insecta;Ephemeroptera;Siphlonuridae;Siphluriscus;Siphluriscus chinensis
ERR1308288:246430.601360	7	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:2531060.624832	7	Eukaryota;Chordata;Amphibia;Caudata;Plethodontidae;Hydromantes;Hydromantes brunus
ERR1308288:3195090.612581	7	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1308288:3203660.717848	7	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
ERR1308288:1003760.654702	6	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1059750.716933	6	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308288:1079150.612536	6	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1090460.669086	6	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1095850.618277	6	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1156550.674292	6	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Haemadipsa;Haemadipsa montana
ERR1308288:1166230.631771	6	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:127120.688675	6	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Crucigera;Crucigera zygophora
ERR1308288:1279960.656296	6	Eukaryota;Nematoda;Chromadorea;Rhabditida;Trichostrongylidae;Trichostrongylus;Trichostrongylus vitrinus
ERR1308288:1332070.621842	6	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1381880.637072	6	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Crucigera;Crucigera zygophora
ERR1308288:1388730.642178	6	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Hobbseus;Hobbseus valleculus
ERR1308288:1504000.626789	6	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1693540.659369	6	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:175410.601140	6	Eukaryota;Arthropoda;Malacostraca;Decapoda;Parastacidae;Engaeus;Engaeus fossor
ERR1308288:1782540.620543	6	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Haemadipsa;Haemadipsa montana
ERR1308288:1814090.610526	6	Eukaryota;Arthropoda;Insecta;Coleoptera;Coccinellidae;Anegleis;Anegleis cardoni
ERR1308288:1839190.606192	6	Eukaryota;Chordata;Mammalia;Rodentia;Heteromyidae;Dipodomys;Dipodomys heermanni
ERR1308288:2234210.682666	6	Eukaryota;Cnidaria;Calicogorgia;Calicogorgia granulosa
ERR1308288:2338960.647459	6	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:252900.661974	6	Eukaryota;Nematoda;Chromadorea;Rhabditida;Dictyocaulidae;Dictyocaulus;Dictyocaulus eckerti
