OTU	amplicon	ERR1308288	total
697	ERR1308288:1238300.722725	1	1
698	ERR1308288:1238490.630612	1	1
699	ERR1308288:1238780.635500	1	1
700	ERR1308288:1239300.638096	1	1
702	ERR1308288:1240120.620411	1	1
703	ERR1308288:1240230.629453	1	1
704	ERR1308288:1240360.677793	1	1
705	ERR1308288:1240900.642294	1	1
706	ERR1308288:1241100.611636	1	1
707	ERR1308288:1241230.628382	2	2
709	ERR1308288:1242560.614867	1	1
712	ERR1308288:1243270.685692	1	1
713	ERR1308288:1243670.660649	1	1
714	ERR1308288:1244900.621527	1	1
715	ERR1308288:1245200.618021	1	1
716	ERR1308288:1245710.606984	1	1
717	ERR1308288:1245820.635612	1	1
718	ERR1308288:1245910.635739	1	1
719	ERR1308288:1245990.610141	1	1
720	ERR1308288:1246780.652320	1	1
721	ERR1308288:1246890.642786	1	1
722	ERR1308288:1247230.649548	1	1
724	ERR1308288:1248530.603909	1	1
725	ERR1308288:124980.619121	1	1
726	ERR1308288:1249810.603471	1	1
727	ERR1308288:1250100.650467	1	1
728	ERR1308288:1250570.601799	1	1
729	ERR1308288:1251330.648280	1	1
730	ERR1308288:1251740.615080	1	1
731	ERR1308288:1252080.605861	1	1
732	ERR1308288:1252300.603097	1	1
733	ERR1308288:1252440.625496	1	1
734	ERR1308288:1252530.611862	1	1
735	ERR1308288:1252730.647546	1	1
736	ERR1308288:1252800.652572	2	2
737	ERR1308288:1252860.637073	1	1
738	ERR1308288:1253320.617419	1	1
739	ERR1308288:1254040.697516	1	1
740	ERR1308288:1254070.659886	2	2
742	ERR1308288:1254680.622093	1	1
743	ERR1308288:1254730.616413	1	1
744	ERR1308288:125520.626730	1	1
745	ERR1308288:1255200.690084	2	2
746	ERR1308288:1256610.705703	1	1
747	ERR1308288:1257090.642617	1	1
748	ERR1308288:1257150.622589	1	1
750	ERR1308288:1257310.612611	1	1
751	ERR1308288:1257640.608966	1	1
752	ERR1308288:125790.623373	1	1
753	ERR1308288:125950.612728	1	1
754	ERR1308288:1259940.660130	1	1
755	ERR1308288:1260800.623996	1	1
756	ERR1308288:126110.616001	1	1
757	ERR1308288:1261310.602943	1	1
758	ERR1308288:1261830.663698	1	1
759	ERR1308288:1263210.695035	1	1
760	ERR1308288:12640.600549	1	1
761	ERR1308288:1264430.646985	1	1
762	ERR1308288:1264510.615901	1	1
764	ERR1308288:1265230.619807	1	1
765	ERR1308288:1266160.608919	1	1
766	ERR1308288:1267200.614437	2	2
767	ERR1308288:1267360.610494	1	1
768	ERR1308288:1267490.621229	1	1
769	ERR1308288:1267640.606942	1	1
770	ERR1308288:1267920.628527	1	1
