OTU	amplicon	ERR0000001	total
846	ERR1:158740.688462	1	1
848	ERR1:158880.644787	1	1
849	ERR1:158900.616598	1	1
851	ERR1:159240.609917	1	1
852	ERR1:15930.704064	2	2
853	ERR1:159360.690130	1	1
854	ERR1:159400.612157	1	1
855	ERR1:159580.709456	1	1
856	ERR1:159720.665417	2	2
857	ERR1:159740.675561	1	1
859	ERR1:159850.630592	1	1
860	ERR1:159870.632385	1	1
862	ERR1:160000.681772	1	1
863	ERR1:160090.640739	1	1
865	ERR1:160270.718677	1	1
866	ERR1:160320.638777	1	1
867	ERR1:160360.603674	1	1
868	ERR1:160380.606036	2	2
869	ERR1:160450.644327	1	1
870	ERR1:160500.671918	1	1
871	ERR1:160600.663927	2	2
872	ERR1:160610.631919	1	1
873	ERR1:160630.680456	1	1
874	ERR1:160800.605254	1	1
875	ERR1:161060.698313	1	1
876	ERR1:161100.710073	2	2
877	ERR1:16130.727402	1	1
878	ERR1:161310.613179	1	1
879	ERR1:161330.608708	2	2
880	ERR1:161360.665181	1	1
881	ERR1:161550.709684	1	1
882	ERR1:161580.673476	1	1
883	ERR1:161620.652662	1	1
885	ERR1:161660.600387	1	1
886	ERR1:161830.615869	1	1
887	ERR1:161890.714167	1	1
888	ERR1:162020.630904	1	1
889	ERR1:162030.680640	1	1
891	ERR1:162100.616300	1	1
892	ERR1:162120.650256	1	1
893	ERR1:162160.632967	1	1
894	ERR1:162270.673178	2	2
895	ERR1:16240.615899	1	1
896	ERR1:162430.675349	1	1
897	ERR1:162440.652650	1	1
898	ERR1:162470.654662	1	1
899	ERR1:162610.624934	1	1
900	ERR1:162660.666505	1	1
902	ERR1:162790.620289	1	1
903	ERR1:162810.607229	1	1
904	ERR1:162940.721684	1	1
905	ERR1:163070.668803	1	1
908	ERR1:16340.727753	1	1
909	ERR1:163470.601453	1	1
910	ERR1:163520.719979	1	1
911	ERR1:163590.608098	1	1
912	ERR1:163650.602332	1	1
914	ERR1:163750.603506	1	1
915	ERR1:163880.616699	1	1
916	ERR1:163950.652885	1	1
917	ERR1:16400.689562	1	1
919	ERR1:164150.661978	2	2
920	ERR1:164220.687200	1	1
921	ERR1:164260.658447	1	1
922	ERR1:164480.686332	2	2
925	ERR1:164880.618514	1	1
926	ERR1:164980.670464	1	1
927	ERR1:165060.624307	1	1
928	ERR1:165070.720359	1	1
929	ERR1:165080.619992	1	1
930	ERR1:165250.692495	1	1
931	ERR1:165270.611429	1	1
933	ERR1:165420.694023	1	1
934	ERR1:165470.677574	1	1
936	ERR1:165520.654961	1	1
937	ERR1:165530.618120	1	1
938	ERR1:165760.608746	1	1
939	ERR1:165830.645157	1	1
940	ERR1:165920.648744	1	1
942	ERR1:166140.601209	1	1
943	ERR1:166560.697960	1	1
944	ERR1:166580.631254	2	2
945	ERR1:166690.650021	1	1
946	ERR1:16670.699816	1	1
947	ERR1:166700.600694	1	1
948	ERR1:166720.738756	1	1
950	ERR1:166950.654313	1	1
951	ERR1:167000.620464	1	1
952	ERR1:167010.630773	1	1
953	ERR1:167160.669570	1	1
954	ERR1:167210.620951	1	1
955	ERR1:167250.646548	1	1
956	ERR1:167300.606195	1	1
957	ERR1:167350.607345	1	1
958	ERR1:16750.626299	1	1
959	ERR1:167520.687891	1	1
960	ERR1:167550.630299	1	1
961	ERR1:167570.618865	1	1
962	ERR1:167590.627383	1	1
964	ERR1:167740.626373	2	2
965	ERR1:167830.651131	1	1
966	ERR1:16790.703098	1	1
967	ERR1:167950.697670	1	1
968	ERR1:168000.671172	1	1
969	ERR1:168140.678474	1	1
970	ERR1:168270.619053	1	1
971	ERR1:168370.688051	1	1
972	ERR1:168470.666633	2	2
974	ERR1:16910.746237	1	1
975	ERR1:169240.618215	1	1
976	ERR1:169270.645597	1	1
977	ERR1:169720.642720	1	1
978	ERR1:169770.636084	1	1
979	ERR1:169800.717020	2	2
980	ERR1:169890.637873	2	2
981	ERR1:169900.624672	2	2
982	ERR1:169970.643566	1	1
983	ERR1:169980.651788	2	2
984	ERR1:170130.682062	1	1
985	ERR1:170230.728353	1	1
986	ERR1:170340.647490	1	1
987	ERR1:17040.610657	1	1
988	ERR1:170410.648715	1	1
989	ERR1:170450.669458	1	1
990	ERR1:170490.612164	1	1
991	ERR1:170520.654039	1	1
992	ERR1:170620.701810	1	1
993	ERR1:170720.677191	1	1
994	ERR1:170780.641299	1	1
995	ERR1:170820.658032	1	1
996	ERR1:170840.612037	1	1
997	ERR1:170900.674609	1	1
998	ERR1:170970.627163	1	1
999	ERR1:171110.605442	1	1
1001	ERR1:171220.652664	1	1
1002	ERR1:171810.723449	1	1
1003	ERR1:171830.661413	1	1
1004	ERR1:171850.675510	1	1
1005	ERR1:171980.712610	1	1
1006	ERR1:172070.689899	1	1
1007	ERR1:172120.694166	1	1
1008	ERR1:172290.685452	1	1
1009	ERR1:172320.675864	1	1
1010	ERR1:172400.707554	1	1
1011	ERR1:17250.671820	1	1
1012	ERR1:172520.629595	1	1
1013	ERR1:17270.728755	1	1
1014	ERR1:172750.616951	1	1
1015	ERR1:17300.678900	1	1
1016	ERR1:173010.696786	1	1
1017	ERR1:173100.620195	1	1
1018	ERR1:173130.614290	1	1
1019	ERR1:173160.643649	1	1
1020	ERR1:17340.703573	1	1
1021	ERR1:173520.700031	1	1
1022	ERR1:173580.641977	1	1
1023	ERR1:17360.682505	1	1
1024	ERR1:17380.680498	2	2
1025	ERR1:17390.662487	1	1
1026	ERR1:173960.618909	1	1
1027	ERR1:1740.620576	1	1
1028	ERR1:174050.618635	1	1
1029	ERR1:174090.666259	2	2
1030	ERR1:17410.730920	1	1
1032	ERR1:174140.685734	1	1
1033	ERR1:174490.609419	2	2
1034	ERR1:174510.720567	2	2
1035	ERR1:174770.645035	1	1
1036	ERR1:17480.629861	1	1
1037	ERR1:174800.619515	2	2
1038	ERR1:174830.691567	1	1
1039	ERR1:174900.628296	1	1
1040	ERR1:174990.600121	1	1
1041	ERR1:175030.619323	1	1
1042	ERR1:175410.666057	1	1
1043	ERR1:175620.657052	1	1
1044	ERR1:175690.633730	1	1
1045	ERR1:175700.658902	1	1
1046	ERR1:175920.630075	1	1
1047	ERR1:175980.628613	1	1
1048	ERR1:176060.661455	1	1
1049	ERR1:176270.636342	1	1
1050	ERR1:176340.649666	1	1
