amplicon	ERR0000001	total
ERR1:438060.604965	2	2
ERR1:440.607678	2	2
ERR1:446360.641139	2	2
ERR1:448620.643026	2	2
ERR1:449540.602508	2	2
ERR1:449640.659248	2	2
ERR1:449740.606093	2	2
ERR1:456650.679809	2	2
ERR1:457200.636807	2	2
ERR1:457720.622767	2	2
ERR1:458710.701771	2	2
ERR1:460760.631516	2	2
ERR1:462030.662321	2	2
ERR1:465470.664603	2	2
ERR1:467170.636381	2	2
ERR1:467380.655730	2	2
ERR1:467920.706148	2	2
ERR1:46860.608150	2	2
ERR1:469700.698157	2	2
ERR1:470370.702223	2	2
ERR1:470810.703613	2	2
ERR1:472420.655162	2	2
ERR1:474550.633991	2	2
ERR1:476080.630083	2	2
ERR1:478210.653699	2	2
ERR1:478450.631239	2	2
ERR1:480680.710807	2	2
ERR1:480950.685828	2	2
ERR1:4810.618275	2	2
ERR1:482540.642533	2	2
ERR1:483060.625896	2	2
ERR1:488240.613729	2	2
ERR1:490070.649688	2	2
ERR1:490590.677620	2	2
ERR1:491100.654487	2	2
ERR1:493610.678590	2	2
ERR1:493930.621465	2	2
ERR1:49960.626136	2	2
ERR1:500430.623430	2	2
ERR1:502180.625316	2	2
ERR1:508830.621903	2	2
ERR1:511540.602553	2	2
ERR1:513400.640111	2	2
ERR1:516200.645636	2	2
ERR1:517670.660560	2	2
ERR1:520120.624022	2	2
ERR1:520720.674871	2	2
ERR1:521050.609247	2	2
ERR1:522650.610845	2	2
ERR1:524120.612449	2	2
ERR1:526730.635202	2	2
ERR1:527150.658142	2	2
ERR1:527900.629955	2	2
ERR1:527960.639529	2	2
ERR1:529240.654862	2	2
ERR1:531000.670772	2	2
ERR1:533690.685455	2	2
ERR1:533990.703116	2	2
ERR1:535230.636811	2	2
ERR1:536780.602111	2	2
ERR1:538320.681405	2	2
ERR1:540940.608593	2	2
ERR1:542860.619582	2	2
ERR1:542880.644474	2	2
ERR1:545630.642918	2	2
ERR1:548840.616156	2	2
ERR1:549980.670735	2	2
ERR1:550500.625978	2	2
ERR1:551000.628951	2	2
ERR1:551920.703556	2	2
ERR1:552150.673974	2	2
ERR1:552200.655445	2	2
ERR1:553860.705117	2	2
ERR1:556260.698865	2	2
ERR1:558250.685054	2	2
ERR1:562660.642622	2	2
ERR1:563030.657245	2	2
ERR1:565690.623555	2	2
ERR1:56910.632330	2	2
ERR1:570520.644108	2	2
ERR1:575620.627431	2	2
ERR1:576870.634443	2	2
ERR1:577350.656776	2	2
ERR1:577630.629569	2	2
ERR1:581160.612574	2	2
ERR1:582830.624498	2	2
ERR1:583250.675223	2	2
ERR1:583990.608975	2	2
ERR1:584410.682933	2	2
ERR1:584710.673301	2	2
ERR1:586650.715866	2	2
ERR1:586830.687314	2	2
ERR1:587090.642635	2	2
ERR1:587760.627131	2	2
ERR1:587810.690928	2	2
ERR1:593810.654982	2	2
ERR1:594770.659200	2	2
ERR1:596190.625096	2	2
ERR1:599170.651927	2	2
ERR1:603050.639397	2	2
ERR1:603860.715659	2	2
ERR1:604770.666942	2	2
ERR1:605740.700917	2	2
ERR1:606070.606219	2	2
ERR1:607760.667251	2	2
ERR1:608230.627292	2	2
ERR1:608270.711954	2	2
ERR1:611220.667218	2	2
ERR1:612150.665453	2	2
ERR1:614610.646863	2	2
ERR1:61920.625679	2	2
ERR1:622980.670472	2	2
ERR1:625680.629449	2	2
ERR1:634490.698892	2	2
ERR1:635110.650859	2	2
ERR1:637790.603330	2	2
ERR1:638790.661092	2	2
ERR1:640230.693606	2	2
ERR1:642360.698936	2	2
ERR1:642560.645392	2	2
ERR1:644950.605491	2	2
ERR1:647370.609468	2	2
ERR1:651600.665973	2	2
ERR1:653620.605947	2	2
ERR1:653690.617185	2	2
ERR1:654430.685177	2	2
ERR1:654800.643772	2	2
ERR1:656400.648746	2	2
ERR1:65750.633987	2	2
ERR1:658570.694174	2	2
ERR1:661090.664946	2	2
ERR1:667580.653339	2	2
ERR1:669720.671350	2	2
ERR1:671220.638573	2	2
ERR1:674540.629475	2	2
ERR1:676510.642073	2	2
ERR1:68140.618250	2	2
ERR1:681790.665080	2	2
ERR1:682230.645065	2	2
ERR1:682420.647215	2	2
ERR1:683560.615969	2	2
ERR1:683940.631942	2	2
ERR1:69520.699900	2	2
ERR1:695390.630207	2	2
ERR1:69620.690455	2	2
ERR1:698140.635896	2	2
ERR1:700670.645622	2	2
ERR1:702380.641582	2	2
ERR1:704140.657221	2	2
ERR1:704380.653956	2	2
ERR1:704610.681834	2	2
ERR1:704770.693209	2	2
ERR1:70800.672919	2	2
ERR1:709130.689913	2	2
ERR1:711270.677855	2	2
ERR1:711790.642965	2	2
ERR1:712250.623967	2	2
ERR1:715130.605124	2	2
ERR1:71600.671985	2	2
ERR1:716300.619136	2	2
ERR1:717400.660249	2	2
ERR1:71760.651338	2	2
ERR1:720180.685194	2	2
ERR1:720740.647405	2	2
ERR1:723010.708395	2	2
ERR1:723120.698799	2	2
ERR1:723270.667267	2	2
ERR1:725110.695676	2	2
ERR1:726710.671035	2	2
ERR1:727890.634206	2	2
ERR1:72820.644198	2	2
ERR1:730760.656413	2	2
ERR1:73170.660559	2	2
ERR1:732940.673351	2	2
ERR1:733160.622869	2	2
ERR1:733580.646766	2	2
ERR1:733850.698381	2	2
ERR1:734880.611944	2	2
ERR1:736000.605874	2	2
ERR1:736310.662495	2	2
ERR1:737050.609305	2	2
ERR1:741990.670201	2	2
ERR1:745850.601488	2	2
ERR1:7470.635805	2	2
ERR1:756950.680070	2	2
ERR1:757090.623112	2	2
ERR1:758750.680090	2	2
ERR1:759640.653052	2	2
ERR1:760030.607704	2	2
ERR1:760380.623521	2	2
ERR1:762490.601414	2	2
ERR1:767940.603608	2	2
ERR1:768440.718633	2	2
ERR1:769680.628444	2	2
ERR1:771240.688838	2	2
ERR1:774520.697907	2	2
ERR1:774570.612859	2	2
ERR1:77460.670851	2	2
ERR1:77490.610597	2	2
ERR1:77900.670560	2	2
ERR1:779550.683758	2	2
ERR1:782450.630543	2	2
ERR1:784400.636414	2	2
ERR1:784570.621163	2	2
ERR1:78600.697799	2	2
ERR1:788150.709583	2	2
ERR1:789470.608827	2	2
ERR1:79030.636630	2	2
ERR1:791230.627912	2	2
ERR1:794110.640318	2	2
ERR1:795560.602345	2	2
ERR1:80000.639357	2	2
ERR1:800400.670579	2	2
ERR1:800460.626784	2	2
ERR1:800480.646455	2	2
ERR1:800690.638242	2	2
ERR1:802370.633619	2	2
