OTU	ERR1308239	classification
ERR1308239:1025180.623444	12	Eukaryota;Chordata;Branchiostomidae;Asymmetron;Asymmetron inferum
ERR1308239:1083420.623178	12	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
ERR1308239:1103170.606853	12	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila trifilum
ERR1308239:1666090.604611	12	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308239:1016710.603854	11	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila soonae
ERR1308239:1132930.603386	11	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308239:1250740.601865	11	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Euryades;Euryades duponchelii
ERR1308239:1555220.603134	11	Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Prostoma;Prostoma graecense
ERR1308239:106470.634257	10	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308239:1086370.600686	10	Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Achelia;Achelia bituberculata
ERR1308239:1114600.624760	10	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
ERR1308239:1147710.626608	10	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza plantaginis
ERR1308239:1168320.601331	10	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Dolicheulota;Dolicheulota formosensis
ERR1308239:1264530.608659	10	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila orosa
ERR1308239:1824710.613933	10	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308239:2084960.603765	10	Eukaryota;Mollusca;Gastropoda;Physidae;Physella;Physella acuta
ERR1308239:1002210.604570	9	Eukaryota;Mollusca;Bivalvia;Veneroida;Vesicomyidae;Vesicomya;Vesicomya stearnsii
ERR1308239:1040730.607574	9	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio erostratus
ERR1308239:1043040.617434	9	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pilosa
ERR1308239:1064150.601499	9	Eukaryota;Porifera;Demospongiae;Hadromerida;Hemiasterellidae;Axos;Axos cliftoni
ERR1308239:2086110.725937	9	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:2122120.742149	9	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308239:1098450.619055	8	Eukaryota;Arthropoda;Insecta;Coleoptera;Gyrinidae;Orectochilus;Orectochilus villosus
ERR1308239:1113840.629008	8	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Adialytus;Adialytus salicaphis
ERR1308239:1114020.605407	8	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pseudobaimaii
ERR1308239:1249070.609319	8	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Euryades;Euryades duponchelii
