OTU	amplicon	SRR1808870	total
1344	SRR11808870:21610.652532	2	2
1345	SRR11808870:2162500.665315	2	2
1346	SRR11808870:2162990.602799	2	2
1347	SRR11808870:2163130.648829	2	2
1348	SRR11808870:2168330.641248	2	2
1349	SRR11808870:2174790.602123	2	2
1350	SRR11808870:2176130.629886	2	2
1351	SRR11808870:2177220.609591	3	3
1353	SRR11808870:2180340.601750	2	2
1355	SRR11808870:2184310.620165	2	2
1358	SRR11808870:2187450.648051	2	2
1361	SRR11808870:2191980.668179	2	2
1363	SRR11808870:2192400.649852	2	2
1364	SRR11808870:2195630.643827	2	2
1366	SRR11808870:2202030.624367	2	2
1367	SRR11808870:2202250.677797	2	2
1369	SRR11808870:2210760.608931	2	2
1370	SRR11808870:2211210.687057	2	2
1372	SRR11808870:2215600.639971	2	2
1374	SRR11808870:2221930.625220	2	2
1376	SRR11808870:2225400.644727	2	2
1377	SRR11808870:2226210.639251	2	2
1379	SRR11808870:2232370.637799	2	2
1381	SRR11808870:2239100.620608	2	2
1382	SRR11808870:2243420.626576	2	2
1387	SRR11808870:2255700.670941	2	2
1388	SRR11808870:2257600.627045	2	2
1389	SRR11808870:2258440.637776	2	2
1391	SRR11808870:2262730.626712	2	2
1392	SRR11808870:2264810.646483	2	2
1393	SRR11808870:2265170.616859	2	2
1394	SRR11808870:226690.617442	2	2
1395	SRR11808870:2273780.623007	2	2
1396	SRR11808870:2275920.619206	2	2
1397	SRR11808870:2277050.629831	2	2
1398	SRR11808870:2278190.653253	3	3
1399	SRR11808870:2279620.629651	2	2
1400	SRR11808870:2279870.652678	2	2
1402	SRR11808870:2293490.651250	2	2
1403	SRR11808870:229590.626372	2	2
1407	SRR11808870:2312580.619737	3	3
1409	SRR11808870:2316440.632420	2	2
1411	SRR11808870:2318580.602441	3	3
1412	SRR11808870:2319260.637619	2	2
1413	SRR11808870:2320090.633401	2	2
1414	SRR11808870:2323350.622892	3	3
1415	SRR11808870:2324050.614991	2	2
1416	SRR11808870:2324960.638115	2	2
1418	SRR11808870:2334170.659008	2	2
1420	SRR11808870:2336540.655219	2	2
1421	SRR11808870:2336560.624149	2	2
1423	SRR11808870:2338230.613129	3	3
1427	SRR11808870:2356870.616529	3	3
1428	SRR11808870:2356900.638849	2	2
1430	SRR11808870:2361180.600924	2	2
1431	SRR11808870:2364840.615741	2	2
1432	SRR11808870:237010.602267	3	3
1433	SRR11808870:2370930.617274	2	2
1434	SRR11808870:2372410.614301	3	3
1435	SRR11808870:2376760.612237	2	2
1436	SRR11808870:2377160.622698	2	2
1437	SRR11808870:2381360.633926	2	2
1439	SRR11808870:2385240.602366	2	2
1440	SRR11808870:2388850.669907	2	2
1441	SRR11808870:2389340.671536	2	2
1443	SRR11808870:2400550.618432	2	2
1444	SRR11808870:2402850.637044	2	2
1445	SRR11808870:2405300.623465	3	3
1448	SRR11808870:2413080.657064	2	2
1449	SRR11808870:2415150.634277	2	2
1451	SRR11808870:2421440.624733	2	2
1452	SRR11808870:2429030.648913	2	2
1453	SRR11808870:2432350.642607	2	2
1457	SRR11808870:2436780.628978	2	2
1459	SRR11808870:2443080.618533	2	2
1460	SRR11808870:2446890.657791	2	2
1462	SRR11808870:245480.649278	2	2
1463	SRR11808870:2459930.613504	2	2
1464	SRR11808870:2461570.610494	2	2
1465	SRR11808870:2467900.628775	2	2
1466	SRR11808870:2472230.607522	3	3
1468	SRR11808870:2479140.637597	2	2
1470	SRR11808870:2485480.604028	2	2
1471	SRR11808870:2503610.637092	2	2
1473	SRR11808870:251340.615077	2	2
1476	SRR11808870:2532490.664756	2	2
1479	SRR11808870:2543810.661280	2	2
1480	SRR11808870:2546060.615197	2	2
1481	SRR11808870:2547740.627408	2	2
1482	SRR11808870:2550170.668868	2	2
1483	SRR11808870:255040.651557	2	2
1484	SRR11808870:2553710.635837	2	2
1486	SRR11808870:2561290.605169	2	2
1487	SRR11808870:2571000.654670	2	2
1488	SRR11808870:2575700.677702	2	2
1489	SRR11808870:2579430.644379	2	2
1490	SRR11808870:2581690.608714	2	2
1491	SRR11808870:2585160.638797	3	3
1492	SRR11808870:2585410.660200	2	2
1494	SRR11808870:2588830.631839	2	2
1495	SRR11808870:2593170.623895	2	2
1496	SRR11808870:2599600.650370	2	2
1497	SRR11808870:260170.621762	2	2
1500	SRR11808870:2611830.631108	3	3
1502	SRR11808870:262440.644406	2	2
1503	SRR11808870:2637300.634332	2	2
1504	SRR11808870:2637420.651446	2	2
1505	SRR11808870:263870.650422	2	2
1506	SRR11808870:2642900.600349	2	2
1508	SRR11808870:2652070.624077	3	3
1509	SRR11808870:2654900.661630	2	2
1510	SRR11808870:2656220.640531	3	3
1511	SRR11808870:2658420.623919	2	2
1512	SRR11808870:2661510.624215	2	2
1513	SRR11808870:2662220.655879	2	2
1515	SRR11808870:266980.634183	2	2
1516	SRR11808870:2672330.615069	2	2
1518	SRR11808870:2690620.622493	2	2
1519	SRR11808870:269440.645852	2	2
1521	SRR11808870:2716560.666950	2	2
1522	SRR11808870:2717210.603491	2	2
1523	SRR11808870:2719720.657308	2	2
1524	SRR11808870:2720750.620893	2	2
1526	SRR11808870:2726420.638266	2	2
1528	SRR11808870:2728500.605743	2	2
1529	SRR11808870:2729200.675570	2	2
1531	SRR11808870:2729600.662033	2	2
1533	SRR11808870:2730320.643100	2	2
1534	SRR11808870:2732190.657477	2	2
1535	SRR11808870:2732250.652206	2	2
1536	SRR11808870:2732640.606032	2	2
1537	SRR11808870:2734130.621109	2	2
