OTU	ERR3460466	classification
ERR3460466:175330.602519	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:18110.618867	3	Eukaryota;Arthropoda;Insecta;Hemiptera;Notonectidae;Enithares;Enithares tibialis
ERR3460466:198820.607986	3	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR3460466:223420.638332	3	Eukaryota;Arthropoda;Insecta;Lepidoptera;Sesiidae;Pyropteron;Pyropteron chrysidiforme
ERR3460466:223710.624510	3	Eukaryota;Arthropoda;Diplopoda;Spirobolida;Spirobolidae;Narceus;Narceus annularus
ERR3460466:227520.606984	3	Eukaryota;Mollusca;Gastropoda;Nassariidae;Nassarius;Nassarius acuminatus
ERR3460466:240300.640623	3	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR3460466:254870.649319	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:263710.653636	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:2750.619135	3	Eukaryota;Arthropoda;Insecta;Siphonaptera;Ctenophthalmidae;Neopsylla;Neopsylla sellaris
ERR3460466:293180.631049	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:315200.617661	3	Eukaryota;Arthropoda;Insecta;Hemiptera;Membracidae;Alchisme;Alchisme grossa
ERR3460466:318420.622766	3	Eukaryota;Arthropoda;Insecta;Coleoptera;Nitidulidae;Meligethes;Meligethes longulus
ERR3460466:320640.620886	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:324340.630956	3	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Xeniidae;Ovabunda;Ovabunda obscuronata
ERR3460466:324620.604807	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:34370.602412	3	Eukaryota;Arthropoda;Diplopoda;Spirobolida;Spirobolidae;Narceus;Narceus annularus
ERR3460466:360990.630616	3	Eukaryota;Entoprocta;Barentsiidae;Barentsia;Barentsia discreta
ERR3460466:383750.642596	3	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella tuberculata
ERR3460466:400660.602644	3	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Abbottina;Abbottina obtusirostris
ERR3460466:406350.600017	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:437520.639763	3	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR3460466:455980.610671	3	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Callosobruchus;Callosobruchus rhodesianus
ERR3460466:461120.623652	3	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;Obelia dichotoma
ERR3460466:463580.616232	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:480680.607728	3	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides nigrum
ERR3460466:502410.617955	3	Eukaryota;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Banza;Banza molokaiensis
ERR3460466:528750.643236	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:533140.613857	3	Eukaryota;Chordata;Amphibia;Anura;Ranidae;Odorrana;Odorrana narina
ERR3460466:575860.661843	3	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Codonium;Codonium proliferum
ERR3460466:616720.603892	3	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Dorididae;Aldisa;Aldisa banyulensis
ERR3460466:62570.617999	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:628510.628950	3	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
ERR3460466:630340.602377	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:656670.600580	3	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia gracilis
ERR3460466:698170.606634	3	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
ERR3460466:782810.604718	3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR3460466:806270.618454	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:989270.611432	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
