amplicon	SRR1808872	total
SRR11808872:2331620.624170	3	3
SRR11808872:2332930.600151	3	3
SRR11808872:2338220.631222	3	3
SRR11808872:2341990.635805	3	3
SRR11808872:2344040.623701	3	3
SRR11808872:234430.612306	3	3
SRR11808872:2347070.611913	3	3
SRR11808872:2352710.604047	3	3
SRR11808872:2353380.614247	3	3
SRR11808872:236700.605182	3	3
SRR11808872:2369470.605245	3	3
SRR11808872:2381030.619413	3	3
SRR11808872:2382240.606284	3	3
SRR11808872:2392620.617972	3	3
SRR11808872:2394540.610828	3	3
SRR11808872:2396560.643191	3	3
SRR11808872:2399540.619244	3	3
SRR11808872:2411560.614917	3	3
SRR11808872:2429540.610706	3	3
SRR11808872:2435800.603838	3	3
SRR11808872:2436210.609420	3	3
SRR11808872:2449440.629880	3	3
SRR11808872:2462180.606211	3	3
SRR11808872:247420.606536	3	3
SRR11808872:247920.624948	3	3
SRR11808872:2482100.620181	3	3
SRR11808872:2482380.606572	3	3
SRR11808872:2486570.615500	3	3
SRR11808872:2487160.636596	3	3
SRR11808872:2493730.624103	3	3
SRR11808872:2503030.616485	3	3
SRR11808872:250430.626010	3	3
SRR11808872:251460.627750	3	3
SRR11808872:2525100.612320	3	3
SRR11808872:2542000.611972	3	3
SRR11808872:2549530.629725	3	3
SRR11808872:2561570.624468	3	3
SRR11808872:2562110.602290	3	3
SRR11808872:2563070.604964	3	3
SRR11808872:2587510.610471	3	3
SRR11808872:2590870.611277	3	3
SRR11808872:2602700.612307	3	3
SRR11808872:2604360.664964	3	3
SRR11808872:2618830.620238	3	3
SRR11808872:2635490.605139	3	3
SRR11808872:2636360.626160	3	3
SRR11808872:2637470.600495	3	3
SRR11808872:2637880.602328	3	3
SRR11808872:2642670.618679	3	3
SRR11808872:2654930.618723	3	3
SRR11808872:2669110.603294	3	3
SRR11808872:2670390.609763	3	3
SRR11808872:2673400.601985	3	3
SRR11808872:2680750.608145	3	3
SRR11808872:2683760.609695	3	3
SRR11808872:2691830.611845	3	3
SRR11808872:269940.631750	3	3
SRR11808872:2710060.617295	3	3
SRR11808872:272010.609091	3	3
SRR11808872:272040.619779	3	3
SRR11808872:2722480.614281	3	3
