OTU	ERR0000001	classification
ERR1:1003750.687812	107	Eukaryota;Arthropoda;Insecta;Orthoptera;Gryllidae;Gryllus;Gryllus veletis
ERR1:147260.683771	106	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Apenthecia;Apenthecia argentata
ERR1:1612150.673453	106	Eukaryota;Annelida;Haplotaxida;Naididae;Chaetogaster;Chaetogaster diastrophus
ERR1:942190.686378	106	Eukaryota;Mollusca;Gastropoda;Trimusculidae;Trimusculus;Trimusculus afra
ERR1:1007300.645811	105	Eukaryota;Gastrotricha;Macrodasyida;Thaumastodermatidae;Tetranchyroderma;Tetranchyroderma quadritentaculatum
ERR1:1055750.660730	103	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupanodon;Clupanodon thrissa
ERR1:230510.693110	102	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Crossorhombus;Crossorhombus kobensis
ERR1:85550.708415	102	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Aiptasiidae;Aiptasia;Aiptasia pulchella
ERR1:1003860.668536	101	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Crossorhombus;Crossorhombus kobensis
ERR1:1065700.690625	101	Eukaryota;Cnidaria;Anthozoa;Pennatulacea;Renillidae;Renilla;Renilla muelleri
ERR1:510460.692234	101	Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Pseudomallada;Pseudomallada astur
ERR1:13170.621549	100	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupanodon;Clupanodon thrissa
ERR1:348330.712782	97	Eukaryota;Chordata;Mammalia;Primates;Tarsiidae;Tarsius;Tarsius wallacei
ERR1:626340.677994	96	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Dioryctria;Dioryctria taedivorella
ERR1:77900.674205	96	Eukaryota;Cnidaria;Anthozoa;Pennatulacea;Renillidae;Renilla;Renilla muelleri
ERR1:1012850.651633	95	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Pocilloporidae;Pocillopora;Pocillopora eydouxi
ERR1:1054350.701355	95	Eukaryota;Nematoda;Chromadorea;Ascaridida;Ascarididae;Baylisascaris;Baylisascaris ailuri
ERR1:1004960.619761	93	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:1017250.640727	90	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1158610.659838	90	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus gloveri
ERR1:1272370.721973	90	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Paramuriceidae;Echinogorgia;Echinogorgia complexa
ERR1:773900.641143	90	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides fulvipes
ERR1:930680.656855	90	Eukaryota;Arthropoda;Arachnida;Scorpiones;Diplocentridae;Didymocentrus;Didymocentrus krausi
ERR1:203940.625429	89	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Paralaubuca;Paralaubuca typus
ERR1:2407340.712529	89	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:90080.697256	89	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Splendeuptychia;Splendeuptychia purusana
ERR1:121860.616034	88	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Ypthima;Ypthima akragas
ERR1:1650060.601657	88	Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Macropus;Macropus fuliginosus
ERR1:1005170.711675	86	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1:101280.684236	86	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Stegana;Stegana langufoliacea
