OTU	amplicon	ERR0000001	total
1117	ERR1:1027300.685003	2	2
1118	ERR1:1027310.647837	1	1
1119	ERR1:1027320.622880	1	1
1121	ERR1:1027450.634866	1	1
1122	ERR1:1027490.723037	1	1
1123	ERR1:1027500.610918	2	2
1124	ERR1:1027510.721120	2	2
1127	ERR1:1027590.734401	1	1
1128	ERR1:1027660.693184	1	1
1129	ERR1:1027670.646651	1	1
1132	ERR1:1027810.651508	2	2
1133	ERR1:1027830.711352	1	1
1134	ERR1:1027870.624059	1	1
1135	ERR1:1027900.703170	1	1
1138	ERR1:102800.720903	1	1
1139	ERR1:1028030.626985	2	2
1142	ERR1:1028130.673029	1	1
1144	ERR1:1028200.643456	1	1
1145	ERR1:1028210.672190	1	1
1148	ERR1:1028370.696056	1	1
1151	ERR1:1028480.686876	1	1
1154	ERR1:1028650.637668	1	1
1155	ERR1:1028670.681465	1	1
1160	ERR1:1028860.660794	1	1
1163	ERR1:1028970.667022	2	2
1165	ERR1:1028990.667685	2	2
1168	ERR1:1029100.693276	1	1
1170	ERR1:1029140.615721	1	1
1182	ERR1:1029480.632812	2	2
1185	ERR1:1029540.646259	1	1
1187	ERR1:1029590.620220	1	1
1191	ERR1:1029720.664316	1	1
1192	ERR1:102980.709511	2	2
1193	ERR1:1029850.684542	2	2
1194	ERR1:1029880.688591	1	1
1195	ERR1:1029990.626618	1	1
1196	ERR1:1030000.657886	1	1
1198	ERR1:1030020.614484	1	1
1199	ERR1:1030130.694353	1	1
1200	ERR1:1030170.706120	1	1
1201	ERR1:1030210.663124	2	2
1203	ERR1:1030250.610064	1	1
1204	ERR1:1030340.704407	1	1
1211	ERR1:103050.678484	2	2
1213	ERR1:1030550.695469	1	1
1214	ERR1:103060.670400	2	2
1215	ERR1:1030600.707047	1	1
1219	ERR1:1030670.661373	1	1
1223	ERR1:1030820.636130	1	1
1225	ERR1:1030860.708233	1	1
1228	ERR1:1030910.713061	1	1
1229	ERR1:1030950.698594	1	1
1230	ERR1:1030960.722251	1	1
1233	ERR1:1031060.648674	1	1
1236	ERR1:1031170.697561	1	1
1238	ERR1:1031250.655798	1	1
1239	ERR1:1031360.687253	2	2
1240	ERR1:1031410.684422	1	1
1241	ERR1:1031430.717446	1	1
1243	ERR1:1031510.704647	1	1
1246	ERR1:1031650.733846	1	1
1249	ERR1:1031720.633189	1	1
1253	ERR1:1031960.705226	1	1
1256	ERR1:103200.735949	1	1
1257	ERR1:1032010.709655	1	1
1258	ERR1:1032040.638378	2	2
1260	ERR1:1032080.729458	1	1
1261	ERR1:1032110.649433	1	1
1262	ERR1:1032130.600365	2	2
1263	ERR1:1032260.659170	1	1
1264	ERR1:1032270.605974	1	1
1266	ERR1:1032410.659208	1	1
1268	ERR1:1032580.727746	1	1
1269	ERR1:1032690.610689	1	1
1270	ERR1:1032700.693480	1	1
1272	ERR1:1032790.669110	1	1
1274	ERR1:1032850.627487	2	2
1275	ERR1:1032890.616922	2	2
1276	ERR1:103290.678359	1	1
1278	ERR1:103300.647176	1	1
1280	ERR1:1033030.686249	1	1
1284	ERR1:1033120.640081	1	1
1285	ERR1:1033130.637596	1	1
1286	ERR1:1033140.647349	1	1
1287	ERR1:1033230.638526	1	1
1291	ERR1:1033380.742432	1	1
1292	ERR1:103340.706330	1	1
1295	ERR1:1033440.641264	1	1
1296	ERR1:1033500.659513	1	1
1298	ERR1:103360.624202	2	2
1301	ERR1:1033700.680949	2	2
1302	ERR1:1033710.710183	1	1
1307	ERR1:1033930.681585	1	1
1309	ERR1:1034050.687384	1	1
1311	ERR1:1034100.717088	1	1
1314	ERR1:1034160.671204	1	1
1315	ERR1:1034200.684870	1	1
1316	ERR1:1034270.664477	2	2
1317	ERR1:103430.701452	1	1
1321	ERR1:1034390.657161	1	1
1323	ERR1:1034410.606356	1	1
1326	ERR1:1034490.602179	2	2
1327	ERR1:1034500.714165	1	1
1328	ERR1:1034520.601429	1	1
1332	ERR1:1034730.623769	1	1
1333	ERR1:1034740.719497	1	1
1335	ERR1:1034830.628141	2	2
1341	ERR1:1035080.621856	1	1
1342	ERR1:1035090.657835	1	1
1344	ERR1:1035120.737995	1	1
1345	ERR1:1035180.644061	1	1
1346	ERR1:1035210.695966	1	1
1347	ERR1:1035220.747452	1	1
1348	ERR1:1035240.614238	1	1
1350	ERR1:1035310.662326	1	1
1352	ERR1:103540.633351	1	1
1354	ERR1:1035470.720149	2	2
1356	ERR1:103550.685675	1	1
1358	ERR1:1035510.620019	1	1
1359	ERR1:1035540.676283	2	2
1361	ERR1:1035580.604373	1	1
1363	ERR1:1035660.714231	1	1
1366	ERR1:1035750.678533	2	2
1368	ERR1:1035770.682592	1	1
1370	ERR1:1035830.717134	2	2
1371	ERR1:1035900.667933	1	1
1372	ERR1:1035940.611783	1	1
